date,region,category,demand,revenue,year,month,month_name,year_month
2019-03-01,North,Electronics,596,46490.61,2019,3,March,2019-03
2019-04-01,West,Furniture,447,51648.41,2019,4,April,2019-04
2019-04-01,West,Electronics,619,51852.51,2019,4,April,2019-04
2019-04-01,East,Office Supplies,324,14646.29,2019,4,April,2019-04
2019-04-01,East,Furniture,397,48223.85,2019,4,April,2019-04
2019-04-01,East,Electronics,555,49635.51,2019,4,April,2019-04
2019-04-01,West,Office Supplies,347,55337.67,2019,4,April,2019-04
2019-04-01,South,Furniture,458,59216.24,2019,4,April,2019-04
2019-04-01,South,Electronics,560,45935.75,2019,4,April,2019-04
2019-04-01,North,Office Supplies,357,15457.69,2019,4,April,2019-04
2019-04-01,North,Furniture,451,55454.58,2019,4,April,2019-04
2019-04-01,North,Electronics,567,51694.95,2019,4,April,2019-04
2019-04-01,South,Office Supplies,383,17139.22,2019,4,April,2019-04
2019-05-01,West,Office Supplies,382,17226.95,2019,5,May,2019-05
2019-05-01,West,Furniture,473,51162.92,2019,5,May,2019-05
2019-05-01,West,Electronics,586,49083.85,2019,5,May,2019-05
2019-05-01,East,Office Supplies,325,13829.21,2019,5,May,2019-05
2019-05-01,East,Furniture,462,59831.86,2019,5,May,2019-05
2019-05-01,East,Electronics,568,51248.64,2019,5,May,2019-05
2019-05-01,South,Office Supplies,374,15774.99,2019,5,May,2019-05
2019-05-01,South,Electronics,571,51525.92,2019,5,May,2019-05
2019-05-01,North,Office Supplies,367,17934.29,2019,5,May,2019-05
2019-05-01,North,Furniture,490,61805.28,2019,5,May,2019-05
2019-05-01,North,Electronics,604,50419.81,2019,5,May,2019-05
2019-05-01,South,Furniture,481,61225.59,2019,5,May,2019-05
2019-06-01,East,Furniture,444,48345.07,2019,6,June,2019-06
2019-06-01,West,Office Supplies,393,17647.69,2019,6,June,2019-06
2019-06-01,West,Furniture,470,52394.41,2019,6,June,2019-06
2019-06-01,West,Electronics,674,54753.73,2019,6,June,2019-06
2019-06-01,East,Office Supplies,357,14623.9,2019,6,June,2019-06
2019-06-01,East,Electronics,521,42379.33,2019,6,June,2019-06
2019-06-01,North,Office Supplies,395,17841.8,2019,6,June,2019-06
2019-06-01,South,Furniture,472,61878.6,2019,6,June,2019-06
2019-06-01,South,Electronics,606,53601.5,2019,6,June,2019-06
2019-06-01,South,Office Supplies,373,15951.73,2019,6,June,2019-06
2019-06-01,North,Furniture,478,55497.12,2019,6,June,2019-06
2019-06-01,North,Electronics,580,45551.87,2019,6,June,2019-06
2019-07-01,West,Office Supplies,356,17229.0,2019,7,July,2019-07
2019-07-01,North,Furniture,433,56373.42,2019,7,July,2019-07
2019-07-01,West,Electronics,628,49510.17,2019,7,July,2019-07
2019-07-01,East,Office Supplies,309,15119.55,2019,7,July,2019-07
2019-07-01,East,Furniture,427,47902.91,2019,7,July,2019-07
2019-07-01,East,Electronics,512,44783.58,2019,7,July,2019-07
2019-07-01,South,Furniture,417,45444.08,2019,7,July,2019-07
2019-07-01,South,Electronics,536,45885.98,2019,7,July,2019-07
2019-07-01,North,Office Supplies,419,19358.54,2019,7,July,2019-07
2019-07-01,North,Furniture,491,61609.3,2019,7,July,2019-07
2019-07-01,North,Electronics,632,50901.18,2019,7,July,2019-07
2019-07-01,South,Office Supplies,339,15532.31,2019,7,July,2019-07
2019-08-01,East,Furniture,418,52967.71,2019,8,August,2019-08
2019-08-01,West,Office Supplies,330,13842.6,2019,8,August,2019-08
2019-08-01,West,Furniture,448,48438.42,2019,8,August,2019-08
2019-08-01,West,Electronics,577,52954.42,2019,8,August,2019-08
2019-08-01,East,Office Supplies,301,12628.35,2019,8,August,2019-08
2019-08-01,East,Electronics,555,50827.16,2019,8,August,2019-08
2019-08-01,North,Electronics,608,54958.81,2019,8,August,2019-08
2019-08-01,South,Furniture,437,50751.74,2019,8,August,2019-08
2019-08-01,South,Electronics,565,51840.26,2019,8,August,2019-08
2019-08-01,North,Office Supplies,320,13228.14,2019,8,August,2019-08
2019-08-01,North,Furniture,421,51077.75,2019,8,August,2019-08
2019-08-01,South,Office Supplies,362,15798.72,2019,8,August,2019-08
2019-09-01,East,Furniture,419,47705.56,2019,9,September,2019-09
2019-09-01,West,Office Supplies,421,18916.65,2019,9,September,2019-09
2019-09-01,West,Furniture,470,57267.48,2019,9,September,2019-09
2019-09-01,West,Electronics,610,53209.91,2019,9,September,2019-09
2019-09-01,East,Office Supplies,348,16887.89,2019,9,September,2019-09
2019-09-01,East,Electronics,563,45607.75,2019,9,September,2019-09
2019-09-01,North,Electronics,667,58418.09,2019,9,September,2019-09
2019-09-01,South,Furniture,487,60282.18,2019,9,September,2019-09
2019-09-01,South,Electronics,612,54584.5,2019,9,September,2019-09
2019-09-01,North,Office Supplies,368,15981.72,2019,9,September,2019-09
2019-09-01,North,Furniture,498,56464.47,2019,9,September,2019-09
2019-09-01,South,Office Supplies,382,17424.84,2019,9,September,2019-09
2019-10-01,West,Office Supplies,375,17536.6,2019,10,October,2019-10
2019-10-01,West,Furniture,506,66016.66,2019,10,October,2019-10
2019-10-01,West,Electronics,588,48149.95,2019,10,October,2019-10
2019-10-01,East,Office Supplies,356,17145.04,2019,10,October,2019-10
2019-10-01,East,Furniture,468,60125.0,2019,10,October,2019-10
2019-10-01,East,Electronics,613,56936.38,2019,10,October,2019-10
2019-10-01,South,Furniture,484,52451.54,2019,10,October,2019-10
2019-10-01,South,Electronics,634,58782.44,2019,10,October,2019-10
2019-10-01,North,Office Supplies,395,19340.83,2019,10,October,2019-10
2019-10-01,North,Furniture,491,53314.54,2019,10,October,2019-10
2019-10-01,North,Electronics,663,53884.09,2019,10,October,2019-10
2019-10-01,South,Office Supplies,420,20519.04,2019,10,October,2019-10
2019-11-01,East,Furniture,524,68076.91,2019,11,November,2019-11
2019-11-01,West,Office Supplies,468,20377.64,2019,11,November,2019-11
2019-11-01,West,Furniture,567,73347.19,2019,11,November,2019-11
2019-11-01,West,Electronics,778,68113.42,2019,11,November,2019-11
2019-11-01,East,Office Supplies,434,20695.14,2019,11,November,2019-11
2019-11-01,East,Electronics,654,59671.11,2019,11,November,2019-11
2019-11-01,North,Office Supplies,467,22601.1,2019,11,November,2019-11
2019-11-01,South,Furniture,560,65311.56,2019,11,November,2019-11
2019-11-01,North,Electronics,660,57390.38,2019,11,November,2019-11
2019-11-01,North,Furniture,559,73654.56,2019,11,November,2019-11
2019-11-01,South,Office Supplies,470,20276.89,2019,11,November,2019-11
2019-11-01,South,Electronics,628,55950.45,2019,11,November,2019-11
2019-12-01,West,Office Supplies,485,20824.68,2019,12,December,2019-12
2019-12-01,West,Furniture,513,65194.33,2019,12,December,2019-12
2019-12-01,West,Electronics,682,59563.36,2019,12,December,2019-12
2019-12-01,East,Office Supplies,451,20459.94,2019,12,December,2019-12
2019-12-01,East,Electronics,650,56607.94,2019,12,December,2019-12
2019-12-01,East,Furniture,559,61517.02,2019,12,December,2019-12
2019-12-01,South,Furniture,547,60744.05,2019,12,December,2019-12
2019-12-01,South,Electronics,638,55215.18,2019,12,December,2019-12
2019-12-01,North,Office Supplies,560,24124.17,2019,12,December,2019-12
2019-12-01,North,Furniture,578,62922.59,2019,12,December,2019-12
2019-12-01,North,Electronics,693,59827.22,2019,12,December,2019-12
2019-12-01,South,Office Supplies,500,22600.09,2019,12,December,2019-12
2020-01-01,East,Furniture,411,51666.62,2020,1,January,2020-01
2020-01-01,West,Furniture,450,48755.45,2020,1,January,2020-01
2020-01-01,West,Electronics,574,46328.36,2020,1,January,2020-01
2020-01-01,East,Office Supplies,354,15673.85,2020,1,January,2020-01
2020-01-01,East,Electronics,480,44511.7,2020,1,January,2020-01
2020-01-01,North,Furniture,427,55981.22,2020,1,January,2020-01
2020-01-01,South,Furniture,392,47503.12,2020,1,January,2020-01
2020-01-01,South,Electronics,559,44410.32,2020,1,January,2020-01
2020-01-01,North,Office Supplies,354,15639.92,2020,1,January,2020-01
2020-01-01,North,Electronics,538,41388.86,2020,1,January,2020-01
2020-01-01,South,Office Supplies,297,13938.61,2020,1,January,2020-01
2020-02-01,East,Furniture,365,46922.85,2020,2,February,2020-02
2020-02-01,West,Office Supplies,334,15256.88,2020,2,February,2020-02
2020-02-01,West,Furniture,437,57057.13,2020,2,February,2020-02
2020-02-01,West,Electronics,578,50529.41,2020,2,February,2020-02
2020-02-01,East,Office Supplies,288,11846.91,2020,2,February,2020-02
2020-02-01,East,Electronics,575,48905.66,2020,2,February,2020-02
2020-02-01,North,Furniture,472,52084.27,2020,2,February,2020-02
2020-02-01,South,Furniture,471,58047.1,2020,2,February,2020-02
2020-02-01,South,Electronics,526,44118.5,2020,2,February,2020-02
2020-02-01,North,Office Supplies,269,11313.82,2020,2,February,2020-02
2020-02-01,North,Electronics,592,50060.09,2020,2,February,2020-02
2020-02-01,South,Office Supplies,295,12067.78,2020,2,February,2020-02
2020-03-01,West,Office Supplies,359,17146.38,2020,3,March,2020-03
2020-03-01,West,Furniture,442,55698.52,2020,3,March,2020-03
2020-03-01,West,Electronics,604,54456.14,2020,3,March,2020-03
2020-03-01,East,Office Supplies,370,17432.79,2020,3,March,2020-03
2020-03-01,East,Furniture,459,57247.26,2020,3,March,2020-03
2020-03-01,East,Electronics,548,43022.82,2020,3,March,2020-03
2020-03-01,South,Office Supplies,348,15093.03,2020,3,March,2020-03
2020-03-01,South,Electronics,601,55226.47,2020,3,March,2020-03
2020-03-01,North,Office Supplies,386,18972.18,2020,3,March,2020-03
2020-03-01,North,Furniture,445,53887.19,2020,3,March,2020-03
2020-03-01,North,Electronics,654,55125.86,2020,3,March,2020-03
2020-03-01,South,Furniture,463,50795.05,2020,3,March,2020-03
2020-04-01,East,Electronics,617,50557.5,2020,4,April,2020-04
2020-04-01,West,Office Supplies,449,19512.63,2020,4,April,2020-04
2020-04-01,West,Electronics,606,52266.56,2020,4,April,2020-04
2020-04-01,East,Office Supplies,369,18101.47,2020,4,April,2020-04
2020-04-01,East,Furniture,451,58401.14,2020,4,April,2020-04
2020-04-01,West,Furniture,457,52571.94,2020,4,April,2020-04
2020-04-01,South,Office Supplies,403,19595.06,2020,4,April,2020-04
2020-04-01,South,Electronics,594,49772.98,2020,4,April,2020-04
2020-04-01,North,Office Supplies,420,20254.8,2020,4,April,2020-04
2020-04-01,North,Furniture,498,63063.69,2020,4,April,2020-04
2020-04-01,North,Electronics,624,51682.37,2020,4,April,2020-04
2020-04-01,South,Furniture,493,54464.16,2020,4,April,2020-04
2020-05-01,West,Office Supplies,416,20541.98,2020,5,May,2020-05
2020-05-01,West,Furniture,487,53587.58,2020,5,May,2020-05
2020-05-01,West,Electronics,616,55730.52,2020,5,May,2020-05
2020-05-01,East,Office Supplies,387,15926.93,2020,5,May,2020-05
2020-05-01,East,Furniture,454,50133.83,2020,5,May,2020-05
2020-05-01,East,Electronics,612,53249.94,2020,5,May,2020-05
2020-05-01,South,Office Supplies,396,16455.23,2020,5,May,2020-05
2020-05-01,South,Furniture,517,60190.15,2020,5,May,2020-05
2020-05-01,South,Electronics,595,51075.98,2020,5,May,2020-05
2020-05-01,North,Office Supplies,425,17432.66,2020,5,May,2020-05
2020-05-01,North,Furniture,537,68172.6,2020,5,May,2020-05
2020-05-01,North,Electronics,677,60900.78,2020,5,May,2020-05
2020-06-01,West,Furniture,507,58232.54,2020,6,June,2020-06
2020-06-01,West,Electronics,617,53319.45,2020,6,June,2020-06
2020-06-01,East,Office Supplies,399,18838.55,2020,6,June,2020-06
2020-06-01,East,Furniture,472,52321.97,2020,6,June,2020-06
2020-06-01,East,Electronics,1245,47171.41,2020,6,June,2020-06
2020-06-01,South,Office Supplies,406,18243.05,2020,6,June,2020-06
2020-06-01,West,Office Supplies,431,20824.8,2020,6,June,2020-06
2020-06-01,South,Electronics,624,53659.55,2020,6,June,2020-06
2020-06-01,North,Office Supplies,415,19710.14,2020,6,June,2020-06
2020-06-01,North,Furniture,486,63536.71,2020,6,June,2020-06
2020-06-01,North,Electronics,614,55455.0,2020,6,June,2020-06
2020-06-01,South,Furniture,524,57990.42,2020,6,June,2020-06
2020-07-01,West,Furniture,500,57714.33,2020,7,July,2020-07
2020-07-01,West,Electronics,605,47082.0,2020,7,July,2020-07
2020-07-01,East,Office Supplies,311,14229.15,2020,7,July,2020-07
2020-07-01,East,Furniture,437,49169.01,2020,7,July,2020-07
2020-07-01,East,Electronics,651,52871.28,2020,7,July,2020-07
2020-07-01,South,Office Supplies,369,17937.25,2020,7,July,2020-07
2020-07-01,West,Office Supplies,453,21664.34,2020,7,July,2020-07
2020-07-01,South,Electronics,624,55116.5,2020,7,July,2020-07
2020-07-01,North,Office Supplies,416,19204.47,2020,7,July,2020-07
2020-07-01,North,Furniture,505,61252.71,2020,7,July,2020-07
2020-07-01,North,Electronics,641,49840.66,2020,7,July,2020-07
2020-07-01,South,Furniture,540,65892.71,2020,7,July,2020-07
2020-08-01,West,Office Supplies,386,18915.12,2020,8,August,2020-08
2020-08-01,West,Furniture,475,60066.46,2020,8,August,2020-08
2020-08-01,West,Electronics,640,51934.67,2020,8,August,2020-08
2020-08-01,East,Office Supplies,352,15570.15,2020,8,August,2020-08
2020-08-01,East,Furniture,483,61925.84,2020,8,August,2020-08
2020-08-01,East,Electronics,527,49004.96,2020,8,August,2020-08
2020-08-01,South,Office Supplies,362,15151.06,2020,8,August,2020-08
2020-08-01,South,Electronics,646,58930.11,2020,8,August,2020-08
2020-08-01,North,Office Supplies,363,17748.72,2020,8,August,2020-08
2020-08-01,North,Furniture,504,64381.41,2020,8,August,2020-08
2020-08-01,North,Electronics,595,54731.53,2020,8,August,2020-08
2020-08-01,South,Furniture,498,65583.92,2020,8,August,2020-08
2020-09-01,East,Electronics,648,55302.12,2020,9,September,2020-09
2020-09-01,West,Office Supplies,453,19214.75,2020,9,September,2020-09
2020-09-01,West,Furniture,523,58234.5,2020,9,September,2020-09
2020-09-01,West,Electronics,684,57017.7,2020,9,September,2020-09
2020-09-01,East,Furniture,478,61400.23,2020,9,September,2020-09
2020-09-01,South,Office Supplies,441,20525.97,2020,9,September,2020-09
2020-09-01,East,Office Supplies,443,21436.72,2020,9,September,2020-09
2020-09-01,South,Electronics,639,56180.18,2020,9,September,2020-09
2020-09-01,North,Office Supplies,433,18427.52,2020,9,September,2020-09
2020-09-01,South,Furniture,452,50047.87,2020,9,September,2020-09
2020-09-01,North,Furniture,537,59660.61,2020,9,September,2020-09
2020-09-01,North,Electronics,637,53609.44,2020,9,September,2020-09
2020-10-01,West,Office Supplies,419,18273.01,2020,10,October,2020-10
2020-10-01,West,Furniture,545,61238.99,2020,10,October,2020-10
2020-10-01,West,Electronics,663,53426.18,2020,10,October,2020-10
2020-10-01,East,Office Supplies,357,16493.62,2020,10,October,2020-10
2020-10-01,East,Furniture,503,66154.95,2020,10,October,2020-10
2020-10-01,East,Electronics,587,49487.22,2020,10,October,2020-10
2020-10-01,South,Office Supplies,396,19422.09,2020,10,October,2020-10
2020-10-01,South,Furniture,571,73485.83,2020,10,October,2020-10
2020-10-01,South,Electronics,675,60629.92,2020,10,October,2020-10
2020-10-01,North,Office Supplies,452,20396.91,2020,10,October,2020-10
2020-10-01,North,Furniture,501,59368.2,2020,10,October,2020-10
2020-10-01,North,Electronics,710,59049.39,2020,10,October,2020-10
2020-11-01,West,Furniture,572,72843.53,2020,11,November,2020-11
2020-11-01,West,Electronics,711,65522.08,2020,11,November,2020-11
2020-11-01,East,Office Supplies,435,21037.56,2020,11,November,2020-11
2020-11-01,East,Furniture,546,69443.47,2020,11,November,2020-11
2020-11-01,East,Electronics,730,56332.86,2020,11,November,2020-11
2020-11-01,South,Office Supplies,446,19525.18,2020,11,November,2020-11
2020-11-01,West,Office Supplies,479,22625.25,2020,11,November,2020-11
2020-11-01,South,Electronics,673,52499.35,2020,11,November,2020-11
2020-11-01,North,Office Supplies,485,20415.15,2020,11,November,2020-11
2020-11-01,North,Furniture,617,69187.71,2020,11,November,2020-11
2020-11-01,North,Electronics,718,63075.21,2020,11,November,2020-11
2020-11-01,South,Furniture,562,63479.03,2020,11,November,2020-11
2020-12-01,West,Furniture,587,65083.21,2020,12,December,2020-12
2020-12-01,West,Electronics,695,56972.87,2020,12,December,2020-12
2020-12-01,East,Office Supplies,464,18875.82,2020,12,December,2020-12
2020-12-01,East,Furniture,548,62372.97,2020,12,December,2020-12
2020-12-01,East,Electronics,701,59973.7,2020,12,December,2020-12
2020-12-01,South,Office Supplies,514,23278.56,2020,12,December,2020-12
2020-12-01,West,Office Supplies,485,23529.65,2020,12,December,2020-12
2020-12-01,South,Electronics,763,68064.95,2020,12,December,2020-12
2020-12-01,North,Office Supplies,488,21795.45,2020,12,December,2020-12
2020-12-01,North,Furniture,604,72255.65,2020,12,December,2020-12
2020-12-01,North,Electronics,735,60856.55,2020,12,December,2020-12
2020-12-01,South,Furniture,611,73491.24,2020,12,December,2020-12
2021-01-01,West,Office Supplies,346,14900.79,2021,1,January,2021-01
2021-01-01,West,Furniture,432,48590.33,2021,1,January,2021-01
2021-01-01,West,Electronics,596,47142.77,2021,1,January,2021-01
2021-01-01,East,Office Supplies,291,12052.07,2021,1,January,2021-01
2021-01-01,East,Furniture,473,62282.92,2021,1,January,2021-01
2021-01-01,East,Electronics,576,47550.9,2021,1,January,2021-01
2021-01-01,South,Office Supplies,345,15099.87,2021,1,January,2021-01
2021-01-01,South,Electronics,546,48688.17,2021,1,January,2021-01
2021-01-01,North,Office Supplies,377,17259.65,2021,1,January,2021-01
2021-01-01,North,Furniture,490,58781.68,2021,1,January,2021-01
2021-01-01,North,Electronics,642,57726.01,2021,1,January,2021-01
2021-01-01,South,Furniture,411,47187.17,2021,1,January,2021-01
2021-02-01,West,Office Supplies,381,17524.32,2021,2,February,2021-02
2021-02-01,East,Furniture,461,52885.69,2021,2,February,2021-02
2021-02-01,West,Furniture,424,46960.58,2021,2,February,2021-02
2021-02-01,West,Electronics,616,51579.17,2021,2,February,2021-02
2021-02-01,East,Office Supplies,331,14369.74,2021,2,February,2021-02
2021-02-01,East,Electronics,573,49402.58,2021,2,February,2021-02
2021-02-01,South,Office Supplies,391,18188.46,2021,2,February,2021-02
2021-02-01,South,Furniture,444,49772.98,2021,2,February,2021-02
2021-02-01,South,Electronics,565,51535.7,2021,2,February,2021-02
2021-02-01,North,Office Supplies,388,19099.39,2021,2,February,2021-02
2021-02-01,North,Furniture,462,60788.61,2021,2,February,2021-02
2021-02-01,North,Electronics,616,51421.68,2021,2,February,2021-02
2021-03-01,West,Office Supplies,393,16557.52,2021,3,March,2021-03
2021-03-01,West,Furniture,510,66565.29,2021,3,March,2021-03
2021-03-01,West,Electronics,624,57973.01,2021,3,March,2021-03
2021-03-01,East,Office Supplies,396,18998.33,2021,3,March,2021-03
2021-03-01,East,Furniture,510,60120.93,2021,3,March,2021-03
2021-03-01,East,Electronics,615,51977.83,2021,3,March,2021-03
2021-03-01,South,Office Supplies,384,17907.27,2021,3,March,2021-03
2021-03-01,South,Furniture,518,59109.69,2021,3,March,2021-03
2021-03-01,South,Electronics,621,48925.52,2021,3,March,2021-03
2021-03-01,North,Office Supplies,407,17716.48,2021,3,March,2021-03
2021-03-01,North,Furniture,468,55948.17,2021,3,March,2021-03
2021-03-01,North,Electronics,663,52459.32,2021,3,March,2021-03
2021-04-01,West,Furniture,516,58603.72,2021,4,April,2021-04
2021-04-01,West,Electronics,617,50361.65,2021,4,April,2021-04
2021-04-01,East,Office Supplies,338,15096.47,2021,4,April,2021-04
2021-04-01,East,Furniture,476,60736.83,2021,4,April,2021-04
2021-04-01,East,Electronics,639,53146.63,2021,4,April,2021-04
2021-04-01,South,Office Supplies,403,18218.66,2021,4,April,2021-04
2021-04-01,West,Office Supplies,472,22937.39,2021,4,April,2021-04
2021-04-01,South,Electronics,623,49392.78,2021,4,April,2021-04
2021-04-01,North,Office Supplies,449,18999.28,2021,4,April,2021-04
2021-04-01,North,Furniture,526,67435.25,2021,4,April,2021-04
2021-04-01,North,Electronics,662,57108.12,2021,4,April,2021-04
2021-04-01,South,Furniture,516,63965.8,2021,4,April,2021-04
2021-05-01,West,Furniture,564,62409.51,2021,5,May,2021-05
2021-05-01,West,Electronics,652,59596.07,2021,5,May,2021-05
2021-05-01,East,Office Supplies,417,19750.01,2021,5,May,2021-05
2021-05-01,East,Furniture,481,60536.12,2021,5,May,2021-05
2021-05-01,East,Electronics,622,50210.52,2021,5,May,2021-05
2021-05-01,South,Office Supplies,499,23751.09,2021,5,May,2021-05
2021-05-01,West,Office Supplies,431,20738.89,2021,5,May,2021-05
2021-05-01,South,Electronics,687,61828.92,2021,5,May,2021-05
2021-05-01,North,Office Supplies,419,17494.69,2021,5,May,2021-05
2021-05-01,North,Furniture,488,60015.08,2021,5,May,2021-05
2021-05-01,North,Electronics,703,64612.75,2021,5,May,2021-05
2021-05-01,South,Furniture,543,70293.21,2021,5,May,2021-05
2021-06-01,West,Office Supplies,475,23181.18,2021,6,June,2021-06
2021-06-01,West,Furniture,548,68346.35,2021,6,June,2021-06
2021-06-01,West,Electronics,643,55873.31,2021,6,June,2021-06
2021-06-01,East,Office Supplies,433,19507.95,2021,6,June,2021-06
2021-06-01,East,Furniture,557,72819.28,2021,6,June,2021-06
2021-06-01,East,Electronics,595,50190.69,2021,6,June,2021-06
2021-06-01,South,Office Supplies,498,21718.41,2021,6,June,2021-06
2021-06-01,South,Electronics,639,55848.29,2021,6,June,2021-06
2021-06-01,North,Office Supplies,491,23067.34,2021,6,June,2021-06
2021-06-01,North,Furniture,533,59481.74,2021,6,June,2021-06
2021-06-01,North,Electronics,682,61416.84,2021,6,June,2021-06
2021-06-01,South,Furniture,547,62381.62,2021,6,June,2021-06
2021-07-01,West,Furniture,497,60086.05,2021,7,July,2021-07
2021-07-01,East,Electronics,627,54267.9,2021,7,July,2021-07
2021-07-01,West,Electronics,643,49240.13,2021,7,July,2021-07
2021-07-01,East,Office Supplies,401,19138.0,2021,7,July,2021-07
2021-07-01,East,Furniture,526,61845.01,2021,7,July,2021-07
2021-07-01,South,Office Supplies,421,20229.08,2021,7,July,2021-07
2021-07-01,West,Office Supplies,389,18974.91,2021,7,July,2021-07
2021-07-01,South,Electronics,631,58200.07,2021,7,July,2021-07
2021-07-01,North,Office Supplies,495,24210.11,2021,7,July,2021-07
2021-07-01,North,Furniture,553,67776.32,2021,7,July,2021-07
2021-07-01,North,Electronics,648,55920.39,2021,7,July,2021-07
2021-07-01,South,Furniture,487,64106.82,2021,7,July,2021-07
2021-08-01,West,Office Supplies,422,19939.35,2021,8,August,2021-08
2021-08-01,West,Furniture,582,63792.92,2021,8,August,2021-08
2021-08-01,West,Electronics,609,56909.14,2021,8,August,2021-08
2021-08-01,East,Office Supplies,382,15764.43,2021,8,August,2021-08
2021-08-01,East,Furniture,512,63449.55,2021,8,August,2021-08
2021-08-01,East,Electronics,662,50790.37,2021,8,August,2021-08
2021-08-01,South,Office Supplies,408,17854.71,2021,8,August,2021-08
2021-08-01,South,Furniture,424,55101.47,2021,8,August,2021-08
2021-08-01,South,Electronics,588,46745.16,2021,8,August,2021-08
2021-08-01,North,Office Supplies,428,17876.58,2021,8,August,2021-08
2021-08-01,North,Furniture,489,58119.23,2021,8,August,2021-08
2021-08-01,North,Electronics,619,55114.23,2021,8,August,2021-08
2021-09-01,West,Furniture,566,61496.07,2021,9,September,2021-09
2021-09-01,West,Electronics,648,54074.62,2021,9,September,2021-09
2021-09-01,East,Office Supplies,381,17638.77,2021,9,September,2021-09
2021-09-01,East,Furniture,452,50789.56,2021,9,September,2021-09
2021-09-01,East,Electronics,675,53418.88,2021,9,September,2021-09
2021-09-01,South,Office Supplies,482,21433.03,2021,9,September,2021-09
2021-09-01,West,Office Supplies,486,20653.91,2021,9,September,2021-09
2021-09-01,South,Electronics,645,50063.0,2021,9,September,2021-09
2021-09-01,North,Office Supplies,464,21150.78,2021,9,September,2021-09
2021-09-01,North,Furniture,551,62029.65,2021,9,September,2021-09
2021-09-01,North,Electronics,691,55271.28,2021,9,September,2021-09
2021-09-01,South,Furniture,523,63066.15,2021,9,September,2021-09
2021-10-01,West,Furniture,579,68388.12,2021,10,October,2021-10
2021-10-01,West,Electronics,691,53865.97,2021,10,October,2021-10
2021-10-01,East,Office Supplies,467,18968.15,2021,10,October,2021-10
2021-10-01,East,Furniture,572,64590.02,2021,10,October,2021-10
2021-10-01,East,Electronics,660,57985.92,2021,10,October,2021-10
2021-10-01,South,Office Supplies,460,22172.58,2021,10,October,2021-10
2021-10-01,West,Office Supplies,445,21597.65,2021,10,October,2021-10
2021-10-01,South,Electronics,704,56706.57,2021,10,October,2021-10
2021-10-01,North,Office Supplies,480,22259.86,2021,10,October,2021-10
2021-10-01,North,Furniture,553,61105.73,2021,10,October,2021-10
2021-10-01,North,Electronics,735,56473.78,2021,10,October,2021-10
2021-10-01,South,Furniture,553,69309.93,2021,10,October,2021-10
2021-11-01,West,Office Supplies,472,20211.51,2021,11,November,2021-11
2021-11-01,West,Furniture,619,76262.95,2021,11,November,2021-11
2021-11-01,West,Electronics,744,57200.19,2021,11,November,2021-11
2021-11-01,East,Office Supplies,493,21853.17,2021,11,November,2021-11
2021-11-01,East,Furniture,591,70741.72,2021,11,November,2021-11
2021-11-01,East,Electronics,695,63428.45,2021,11,November,2021-11
2021-11-01,South,Office Supplies,558,27362.13,2021,11,November,2021-11
